영화명,총배정좌석수
죽여주는 여자,966000.0
머니백,957144.0
"어쩌다, 결혼",936780.0
서울역,932894.0
"무현, 두 도시 이야기",918032.0
"안녕, 티라노: 영원히, 함께",892876.0
두 남자,886752.0
로망,878556.0
미안해 사랑해 고마워,877012.0
저수지 게임,854048.0
트릭,836576.0
돌연변이,824297.0
"다시, 봄",820497.0
워킹걸,808885.0
당신의 부탁,793247.0
벌새,788405.0
목숨 건 연애,782169.0
러브 유어셀프 인 서울,777418.0
달빛궁궐,767818.0
"그래, 가족",766481.0
다이노 타임,762316.0
여교사,758126.0
대결,754859.0
번 더 스테이지: 더 무비,741344.0
미니특공대X,739833.0
런닝맨 : 풀룰루의 역습,732497.0
엽기적인 그녀 2,726344.0
김광석,725007.0
그물,720757.0
0.0MHz,718957.0
독전: 익스텐디드 컷,715401.0
살인소설,710827.0
극장판 꼬마버스 타요의 에이스 구출작전,707815.0
퇴마: 무녀굴,703584.0
김복동,692930.0
썬키스 패밀리,686151.0
게이트,685446.0
소공녀,673902.0
번개맨,669623.0
더 테이블,659641.0
노무현과 바보들,636558.0
암전,634160.0
자백,630258.0
여곡성,630058.0
4등,626793.0
비밀,626398.0
올레,606050.0
쓰리 썸머 나잇,604161.0
유리정원,586967.0
최악의 하루,584502.0
교회오빠,582200.0
지금은맞고그때는틀리다,558441.0
우리집,546858.0
역모-반란의 시대,540968.0
비밥바룰라,539536.0
출국,538561.0
춘희막이,534096.0
1919 유관순,532200.0
최강전사 미니특공대: 영웅의 탄생,529010.0
최강전사 미니특공대 : 새로운 악당의 습격,504248.0
그랜드파더,497544.0
밤의 해변에서 혼자,491311.0
파울볼,488541.0
뷰티플 마인드,484619.0
약장수,482347.0
극장판 또봇: 로봇군단의 습격,479568.0
"서서평, 천천히 평온하게",476091.0
칠곡 가시나들,457602.0
커터,449875.0
범죄의 여왕,448125.0
다이노X 탐험대,446380.0
이웃집 스타,404733.0
폴란드로 간 아이들,390414.0
메소드,390326.0
검은손,387984.0
일사각오,382665.0
물의 기억,372483.0
극장판 프랭키와 친구들: 생명의 나무,367559.0
잡아야 산다,363444.0
슈퍼 빼꼼: 스파이 대작전,362858.0
"귀향, 끝나지 않은 이야기",360939.0
우리들,359332.0
성실한 나라의 앨리스,353492.0
극장판 뽀잉: 슈퍼 변신의 비밀,351715.0
뚜르: 내 생애 최고의 49일,345134.0
번개맨과 신비의 섬,344771.0
타이밍,340289.0
더 플랜,337742.0
영주,331806.0
시인의 사랑,331428.0
어떤살인,329725.0
섬. 사라진 사람들,323378.0
당신자신과 당신의 것,319011.0
용순,318900.0
한여름의 판타지아,318547.0
무수단,314212.0
다시 태어나도 우리,311760.0
태양을 쏴라,307739.0
스파키,301762.0
그 후,296150.0
해피 투게더,294116.0
춘몽,291968.0
번개맨의 비밀,289226.0
레이디버그,280561.0
빅뱅 메이드,277159.0
군산: 거위를 노래하다,275247.0
나홀로 휴가,274835.0
터닝메카드W: 반다인의 비밀 특별판,273755.0
슈퍼 프렌즈,261491.0
순종,252893.0
중독노래방,252465.0
아픈 만큼 사랑한다,251021.0
내게 남은 사랑을,249463.0
임을 위한 행진곡,245799.0
B급 며느리,245625.0
꿈의 제인,239791.0
내 친구 정일우,237325.0
파워배틀 와치카: 와치가면의 역습,236966.0
아티스트: 다시 태어나다,235441.0
두 번째 스물,232580.0
호랑이보다 무서운 겨울손님,228595.0
파워배틀 와치카 미니카 배틀리그: 불꽃의 질주,225432.0
시민 노무현,218351.0
살아남은 아이,217664.0
뷰티풀 투모로우,217497.0
죄 많은 소녀,216625.0
뷰티풀 데이즈,212118.0
히야,212093.0
김군,210831.0
엄마의 공책,207286.0
소나기,207244.0
마리안느와 마가렛,206729.0
멜리스,206294.0
나비잠,205978.0
캐리tv 러브콘서트 더 무비,205335.0
7년-그들이 없는 언론,198152.0
폴라로이드,197013.0
5.18 힌츠페터 스토리,194810.0
구세주: 리턴즈,192045.0
클레어의 카메라,187244.0
"다시, 벚꽃",184832.0
커피 메이트,183266.0
별의 정원,182452.0
이타미 준의 바다,182069.0
우리는 썰매를 탄다,180610.0
명량: 회오리 바다를 향하여,177354.0
"안녕, 전우치! 도술로봇대결전",176109.0
공동정범,175182.0
"제자도 - 제자,옥한흠2",172711.0
난폭한 기록,171148.0
카이: 거울 호수의 전설,171138.0
나쁜 나라,170706.0
튼튼이의 모험,169617.0
에움길,169122.0
극장판 샤이닝스타:새로운 루나퀸의 탄생!,168858.0
미스 프레지던트,167769.0
"무현, 두 도시 이야기 : 파이널 컷",166180.0
부릉! 부릉! 브루미즈: 스피더의 모험 일기,166030.0
풀잎들,163194.0
돌아온다,161357.0
마돈나,160893.0
연애담,157930.0
시인 할매,151729.0
여배우는 오늘도,149862.0
설행_눈길을 걷다,149511.0
올드마린보이,147170.0
돼지 같은 여자,146675.0
타투,143308.0
질투의 역사,142426.0
산상수훈,142371.0
제 7기사단,141179.0
고녀석 맛나겠다2 : 함께라서 행복해,138603.0
위로공단,138482.0
강변호텔,136694.0
나와 봄날의 약속,132864.0
피의 연대기,132588.0
초행,131859.0
서산개척단,131455.0
어른도감,130564.0
기적의 피아노,127971.0
마차 타고 고래고래,127048.0
무문관,126809.0
뷰티풀 보이스,125035.0
나의 살던 고향은,124419.0
세상끝의 사랑,124398.0
카운터스,122340.0
젝스키스 에이틴,120851.0
운동회,120260.0
길,118152.0
고향이 어디세요,117283.0
마이 페어 웨딩,115621.0
양치기들,114306.0
샘,113769.0
가을 우체국,112908.0
커튼콜,109788.0
환절기,109124.0
바나나쏭의 기적,108005.0
트와이스랜드,104666.0
옹알스,103128.0
눈발,100268.0
그라운드의 이방인,99960.0
시소,99635.0
물숨,99453.0
아기와 나,98678.0
어른이 되면,97594.0
꿈보다 해몽,96887.0
극장판 프리즘스톤 올스타 셀렉션,96443.0
"1991, 봄",95436.0
재꽃,94818.0
세계일주,94425.0
보희와 녹양,92440.0
직지코드,92009.0
슈퍼레이서 엔지,90929.0
메리 크리스마스 미스터 모,90171.0
다이빙벨 그후,89609.0
나는 고양이로소이다,89328.0
대관람차,87343.0
괴물들,87184.0
오 마이 파파,87153.0
초인,85316.0
반짝이는 박수 소리,85282.0
업사이드 다운,84937.0
프랑스 영화처럼,84136.0
리스펙트,83746.0
델타 보이즈,83132.0
산다,83017.0
로마서 8:37,82936.0
할머니의 먼 집,82443.0
해적왕 작스톰,81762.0
사랑이 이긴다,81713.0
앨리스: 원더랜드에서 온 소년,80749.0
브링 홈: 아버지의 땅,80272.0
에스엠타운 더 스테이지,80096.0
고려 아리랑: 천산의 디바,80063.0
꾸루꾸루와 친구들: 무지개 나무의 비밀,79940.0
파란나비효과,79674.0
기생-꽃의 고백,79061.0
선희와 슬기,78471.0
여자들,78201.0
거짓말,75960.0
노리개: 그녀의 눈물,75817.0
오목소녀,75686.0
아들에게 가는 길,75183.0
한강에게,73674.0
밤섬해적단 서울불바다,72495.0
안녕 히어로,72371.0
수성못,72126.0
굿바이 썸머,71572.0
잡식가족의 딜레마,70086.0
내가 사는 세상,69725.0
나부야 나부야,69418.0
문영,69381.0
폭력의 씨앗,69092.0
우주의 크리스마스,68682.0
올 리브 올리브,68564.0
불온한 당신,68230.0
식구,66792.0
"나의 아들, 나의 어머니",66261.0
누에치던 방,66061.0
박화영,65372.0
소성리,64996.0
집의 시간들,64662.0
우리 연애의 이력,64081.0
시간의 종말,63499.0
철원기행,62023.0
얼굴들,61945.0
고양이 장례식,61897.0
생각보다 맑은,61111.0
조류인간,60757.0
푸른노을,60658.0
땐뽀걸즈,60458.0
스틸 플라워,59362.0
늙은 자전거,58832.0
"컴, 투게더",58549.0
순교,58471.0
미라클 여행기,57618.0
파리의 한국남자,57315.0
그림자들의 섬,56974.0
쇠파리,56102.0
망원동 인공위성,55793.0
위켄즈,55596.0
다른 길이 있다,55064.0
바람의 춤꾼,54494.0
굿바이 마이 러브NK: 붉은 청춘,54281.0
22,54274.0
밤치기,53998.0
해원,53713.0
청춘 합창단 - 또 하나의 꿈,53378.0
스타박'스 다방,53099.0
분장,53072.0
리벤져,52943.0
필름시대사랑,52648.0
밀양 아리랑,52118.0
영도,51074.0
오늘도 평화로운,50140.0
그들이 죽었다,48467.0
려행,48454.0
이월,48348.0
소녀와 여자,47747.0
홀리워킹데이,46874.0
실종2,46714.0
버블 패밀리,46214.0
레나,45839.0
행복의 나라,45798.0
삼례,45479.0
라라,45244.0
마담 B,45196.0
다영씨,44929.0
노후 대책 없다,44615.0
메이트,44303.0
드롭박스,43927.0
작은 형,43597.0
왕을 참하라,43507.0
수색역,43360.0
"춘천, 춘천",42545.0
"안녕, 나의 소녀 시절이여",42397.0
아일랜드 - 시간을 훔치는 섬,42287.0
히치하이크,41823.0
소꿉놀이,40912.0
위선자들,39758.0
울보 권투부,39537.0
눈꺼풀,39132.0
파밍 보이즈,38865.0
발광하는 현대사,38801.0
예수보다 낯선,38033.0
션샤인 러브,37633.0
밤의 문이 열린다,37612.0
살인자의 기억법 : 새로운 기억,37211.0
어떤이의 꿈,37010.0
막다른 골목의 추억,36973.0
경계,36794.0
하나식당,36770.0
막걸스,36663.0
공포체험단 곤지암편,35563.0
반도에 살어리랏다,35491.0
레드 툼,35303.0
귀신의 향기,35231.0
인어전설,35180.0
안나 카레니나,35090.0
파란입이 달린 얼굴,34280.0
련희와 연희,34188.0
예스 평창!,34072.0
해에게서 소년에게,33593.0
천화,33238.0
더 블랙,32992.0
인 허 플레이스,32727.0
비치온더비치,32393.0
사랑의 선물,32075.0
파도치는 땅,32036.0
국경의 왕,31831.0
나의 연기 워크샵,31261.0
장기왕 : 가락시장 레볼루션,30641.0
들꽃,30433.0
불빛 아래서,30334.0
설해,30247.0
어둔 밤,29695.0
짐작보다 따뜻하게,29435.0
딜쿠샤,29206.0
한강블루스,28683.0
우리 손자 베스트,28428.0
오장군의 발톱,28210.0
어우동: 주인 없는 꽃,27535.0
살인재능,27275.0
소녀의 세계,27054.0
그럼에도 불구하고,26845.0
지렁이,26681.0
후쿠시마의 미래,26638.0
타클라마칸,26564.0
울보,26479.0
만담강호,26121.0
달에 부는 바람,25782.0
왕초와 용가리,25418.0
야근 대신 뜨개질,24371.0
흔들리는 물결,23565.0
두 개의 연애,23468.0
불안한 외출,22935.0
늦여름,22893.0
파스카,22883.0
서태지밴드 콘서트투어 '콰이어트나이트',22482.0
명령불복종 교사,22210.0
"시발, 놈: 인류의 시작",22018.0
사돈의 팔촌,21825.0
코인라커,21564.0
광인옥한흠,21400.0
포항,20945.0
워킹 스트리트,20405.0
"이,기적인 남자",19377.0
탐욕의 별,18900.0
혼자,17618.0
소은이의 무릎,17601.0
거미의 땅,17484.0
아이엠 호프맨,17147.0
개: dog eat dog,14742.0
악인은 살아 있다,14737.0
파파 오랑후탄,14176.0
선종 무문관,12173.0
퍼즐,11913.0
나는 증인이다,11418.0
소시민,10576.0
하프,10374.0
맞짱,9925.0
블랙가스펠2: 소울을 찾는 여정가운데 만난 사람들,9691.0
이바라키의 여름,9465.0
눈이라도 내렸으면,9238.0
성난 화가,9123.0
사월의 끝,8061.0
로드킬,7570.0
미친도시,7285.0
플랑크 상수,6647.0
남자와 여자,6283.0
기화,5402.0
폭력의 법칙: 나쁜 피 두 번째 이야기,5145.0
파일 : 4022일의 사육,4998.0
무서운 집,3736.0
독도의 영웅들,2686.0
덫: 치명적인 유혹,2373.0
