영화명,1623공급좌석수
0.0MHz,326004.0
1919 유관순,172696.0
"1991, 봄",49892.0
4등,231483.0
5.18 힌츠페터 스토리,61095.0
7년-그들이 없는 언론,91250.0
B급 며느리,81208.0
강변호텔,67698.0
검은손,149161.0
게이트,244491.0
공동정범,81575.0
교회오빠,180302.0
구세주: 리턴즈,59961.0
군산: 거위를 노래하다,102424.0
"귀향, 끝나지 않은 이야기",118567.0
그 후,97034.0
그라운드의 이방인,43187.0
"그래, 가족",292728.0
그랜드파더,189348.0
그물,299460.0
극장판 공룡메카드: 타이니소어의 섬,233590.0
극장판 꼬마버스 타요의 에이스 구출작전,65132.0
극장판 또봇: 로봇군단의 습격,42911.0
극장판 안녕 자두야,113995.0
극장판 헬로카봇 : 백악기 시대,193736.0
극장판 헬로카봇: 옴파로스 섬의 비밀,184159.0
길,42726.0
김광석,267320.0
김군,87506.0
김복동,254226.0
꿈보다 해몽,40145.0
꿈의 제인,106669.0
나비잠,79953.0
나쁜 나라,78461.0
나의 절친 악당들,427659.0
나홀로 휴가,95628.0
난폭한 기록,52122.0
내 친구 정일우,79984.0
내게 남은 사랑을,74665.0
넛잡 2,149273.0
노무현과 바보들,240165.0
눈길,423944.0
눈발,43139.0
다시 태어나도 우리,104514.0
"다시, 벚꽃",65408.0
"다시, 봄",344972.0
다이노 타임,75815.0
다이노X 탐험대,43321.0
달빛궁궐,88746.0
당신의 부탁,306128.0
당신자신과 당신의 것,116595.0
대결,289352.0
더 테이블,245263.0
더 플랜,147831.0
독전: 익스텐디드 컷,339714.0
돌아온다,64004.0
돌연변이,303350.0
돼지 같은 여자,46444.0
두 남자,320965.0
두 번째 스물,77562.0
뚜르: 내 생애 최고의 49일,129236.0
러브 유어셀프 인 서울,325931.0
런닝맨 : 풀룰루의 역습,71738.0
레드슈즈,338944.0
로망,268770.0
마돈나,67825.0
마리안느와 마가렛,79179.0
마이 페어 웨딩,54655.0
마차 타고 고래고래,54343.0
머니백,378924.0
메소드,123530.0
멜리스,90603.0
명량: 회오리 바다를 향하여,42866.0
목숨 건 연애,295376.0
무문관,40375.0
무수단,121322.0
"무현, 두 도시 이야기",404194.0
"무현, 두 도시 이야기 : 파이널 컷",62050.0
물의 기억,106312.0
미니특공대X,85789.0
미스 프레지던트,68411.0
미안해 사랑해 고마워,306600.0
밤의 해변에서 혼자,192935.0
배반의 장미,386463.0
번 더 스테이지: 더 무비,431582.0
번개맨,85928.0
벌새,349613.0
범죄의 여왕,169696.0
뷰티풀 데이즈,71268.0
뷰티풀 투모로우,155709.0
뷰티플 마인드,169600.0
비밀,244148.0
비밥바룰라,184322.0
빅뱅 메이드,179183.0
뽀로로 극장판 공룡섬 대모험,370953.0
뽀로로 극장판 보물섬 대모험,279587.0
뽀로로 극장판 컴퓨터 왕국 대모험,149145.0
산다,44082.0
산상수훈,71676.0
살아남은 아이,88266.0
살인소설,237689.0
서산개척단,53010.0
"서서평, 천천히 평온하게",149917.0
서울역,373419.0
설행_눈길을 걷다,54788.0
섬. 사라진 사람들,126469.0
성실한 나라의 앨리스,151257.0
소공녀,276426.0
소나기,47259.0
순종,85435.0
시민 노무현,65559.0
시인 할매,44954.0
시인의 사랑,118014.0
신비아파트: 금빛 도깨비와 비밀의 동굴,206778.0
썬키스 패밀리,229818.0
쓰리 썸머 나잇,227975.0
아티스트: 다시 태어나다,83764.0
아픈 만큼 사랑한다,71549.0
"안녕, 티라노: 영원히, 함께",81140.0
암전,256970.0
약장수,177866.0
양치기들,44419.0
어떤살인,118114.0
어른도감,53808.0
"어쩌다, 결혼",382682.0
언더독,297126.0
엄마의 공책,72988.0
업사이드 다운,45262.0
에스엠타운 더 스테이지,41149.0
에움길,44916.0
여곡성,257912.0
여교사,318600.0
여배우는 오늘도,67537.0
역모-반란의 시대,199781.0
연애담,77893.0
엽기적인 그녀 2,248255.0
영주,130853.0
올드마린보이,53360.0
올레,220004.0
용순,135231.0
우리는 썰매를 탄다,57407.0
우리들,127561.0
우리집,191405.0
워킹걸,356077.0
위로공단,66537.0
유리정원,208043.0
이웃집 스타,139817.0
이타미 준의 바다,71904.0
일사각오,122934.0
임을 위한 행진곡,97867.0
자백,287183.0
잡아야 산다,156977.0
재꽃,40988.0
저수지 게임,340309.0
점박이 한반도의 공룡2 : 새로운 낙원,143665.0
제 7기사단,46658.0
"제자도 - 제자,옥한흠2",59881.0
젝스키스 에이틴,61846.0
죄 많은 소녀,93958.0
죽여주는 여자,343753.0
중독노래방,76940.0
지금은맞고그때는틀리다,235334.0
질투의 역사,49713.0
채비,401198.0
초행,59115.0
최강전사 미니특공대 : 새로운 악당의 습격,54444.0
최강전사 미니특공대: 영웅의 탄생,40362.0
최악의 하루,237662.0
춘몽,104506.0
춘희막이,163991.0
출국,183435.0
칠곡 가시나들,151569.0
카운터스,44765.0
커터,179270.0
커피 메이트,78244.0
클레어의 카메라,75949.0
타이밍,136164.0
타투,51618.0
태양을 쏴라,132982.0
터닝메카드W: 블랙미러의 부활,183015.0
퇴마: 무녀굴,277477.0
트릭,307908.0
트와이스랜드,53235.0
튼튼이의 모험,66323.0
파울볼,198877.0
폴라로이드,56922.0
폴란드로 간 아이들,110360.0
풀잎들,70749.0
피의 연대기,59633.0
한여름의 판타지아,143528.0
해피 투게더,90856.0
호랑이보다 무서운 겨울손님,77713.0
홈,257047.0
환절기,49184.0
히야,88114.0
